ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,10,A,2,1,2,817,444,632,345,726,522,1,X
2,28,B,2,2,2,808,382,755,451,653,341,6,X
3,52,A,2,1,2,544,610,762,368,721,476,8,X
4,102,B,2,2,1,522,334,545,621,615,325,5,X
5,119,A,2,2,2,703,479,555,328,534,606,6,X
6,141,B,2,2,2,611,372,646,494,599,343,6,X
7,160,A,2,2,2,898,603,611,358,656,490,8,X
8,202,B,2,2,1,780,352,814,617,642,319,7,X
9,227,A,2,1,2,529,447,735,344,741,550,6,X
10,250,B,2,1,2,731,287,546,461,656,339,8,X
11,280,A,2,2,1,825,532,666,292,681,521,5,X
12,293,B,2,2,2,781,378,728,542,650,290,6,X
13,324,A,2,1,2,807,434,746,364,766,524,6,X
14,347,B,2,2,2,519,289,770,448,716,351,8,X
15,376,A,2,2,1,497,522,572,286,707,487,4,X
16,393,B,2,1,1,811,375,557,531,545,290,6,X
17,421,A,2,1,2,527,605,763,355,607,533,8,X
18,466,B,2,2,1,781,360,553,600,623,319,7,X
19,492,A,2,1,2,850,478,755,350,596,575,6,X
20,522,B,2,2,2,470,277,794,492,693,331,8,X
21,567,A,2,2,2,387,518,514,276,590,526,4,B
