ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,10,B,2,1,2,685,475,624,571,709,438,1,X
2,35,A,2,1,2,475,665,660,454,651,583,8,X
3,78,B,1,2,1,453,453,537,653,592,431,7,X
4,98,A,2,2,2,465,527,526,444,572,623,6,X
5,125,B,2,1,2,505,403,508,556,601,440,8,X
6,165,A,2,2,1,820,565,535,404,597,592,7,X
7,183,B,2,2,2,773,420,742,577,539,399,9,X
8,207,A,2,1,1,858,527,705,424,733,586,7,X
9,230,B,2,2,2,553,420,809,551,691,435,9,X
10,254,A,2,2,1,433,576,629,433,715,575,5,X
11,270,B,2,1,2,467,489,545,585,554,420,6,X
12,294,A,2,2,2,548,503,535,458,546,597,9,B
