ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,15,A,2,2,2,484,659,645,453,507,619,2,X
2,78,B,1,2,1,479,405,467,663,604,430,3,X
3,112,A,2,2,1,678,572,500,400,617,592,7,X
4,135,B,2,2,2,810,483,633,577,579,421,6,X
5,166,A,2,1,2,856,658,776,464,667,588,8,X
6,207,B,2,2,1,466,438,820,671,658,434,5,X
7,226,A,2,2,2,464,606,529,436,796,650,4,X
8,249,B,2,1,1,462,471,515,620,561,436,6,X
9,277,A,2,2,2,406,646,491,466,601,595,9,X
10,310,B,2,1,2,492,433,468,638,514,449,3,X
11,334,A,2,2,1,450,649,512,453,589,611,3,X
12,373,B,2,1,2,504,435,498,645,547,437,3,X
13,406,A,2,2,1,662,489,504,431,624,619,5,B
