ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,9,B,2,1,2,657,363,619,495,710,323,1,X
2,27,A,2,1,2,551,510,642,355,638,505,8,X
3,42,B,2,1,1,688,326,601,510,622,349,5,X
4,56,A,2,1,2,839,467,596,329,518,493,6,X
5,80,B,2,2,2,498,283,724,479,659,333,8,X
6,115,A,2,2,1,485,571,536,282,847,484,3,X
7,149,B,2,1,1,489,373,521,579,572,307,7,X
8,170,A,2,2,2,491,448,514,362,581,551,6,X
9,193,B,2,1,2,730,278,514,466,564,352,8,X
10,235,A,2,2,1,861,396,680,284,691,528,7,B
