ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,8,B,2,1,2,596,371,654,505,570,322,1,X
2,29,A,2,2,2,664,459,606,361,675,503,6,X
3,46,B,2,1,2,781,371,690,507,602,345,6,X
4,68,A,2,1,2,480,436,734,349,669,518,6,X
5,95,B,2,1,2,743,277,532,470,623,341,8,X
6,141,A,1,2,1,811,525,711,277,687,539,5,X
7,156,B,2,2,2,785,353,746,547,718,284,6,X
8,181,A,2,1,2,626,450,725,349,699,551,6,X
9,206,B,2,1,2,513,279,679,499,645,337,8,X
10,239,A,2,2,1,469,512,558,298,642,526,4,X
11,254,B,2,1,2,507,347,603,527,581,309,6,X
12,278,A,2,2,2,688,440,546,346,585,532,6,X
13,304,B,2,2,2,728,275,634,479,599,349,8,X
14,340,A,2,1,1,817,643,703,286,658,542,3,B
