ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,55,B,2,1,2,677,467,630,563,712,415,1,X
2,76,A,2,2,2,787,514,697,456,648,569,6,X
3,97,B,2,2,2,496,375,729,538,678,445,8,X
4,136,A,2,2,1,481,536,524,381,637,581,7,X
5,154,B,2,1,1,691,412,510,555,540,391,9,X
6,167,A,2,1,2,673,546,576,416,549,566,6,X
7,190,B,2,2,2,756,382,669,578,624,423,8,X
8,221,A,1,2,1,454,661,708,401,713,597,3,X
9,263,B,1,2,1,508,418,528,644,587,416,5,X
10,282,A,2,2,2,652,532,541,416,520,644,6,X
11,307,B,2,1,2,784,474,661,555,600,417,6,X
12,334,A,2,1,2,521,662,757,462,695,559,8,X
13,371,B,1,2,1,653,424,567,646,615,421,5,X
14,384,A,2,1,2,661,549,568,419,540,667,6,X
15,411,B,2,2,2,794,467,613,578,614,425,6,X
16,440,A,2,1,2,810,511,748,456,678,572,6,X
17,467,B,2,2,2,833,489,775,538,705,443,6,X
18,497,A,2,1,2,782,641,775,477,762,542,8,X
19,567,B,2,2,1,629,408,770,647,626,413,5,X
20,578,A,2,1,2,207,383,618,405,776,630,6,B
