ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,8,B,2,1,2,543,373,649,490,571,323,1,X
2,26,A,2,2,2,442,463,567,366,661,491,6,X
3,53,B,2,1,2,758,278,469,478,581,341,8,X
4,98,A,2,2,1,782,475,706,279,718,538,7,X
5,121,B,2,2,2,668,361,756,499,715,288,6,X
6,145,A,2,1,2,600,427,643,354,660,512,6,X
7,170,B,2,2,2,506,293,567,444,626,357,8,X
8,204,A,2,2,1,452,556,559,288,623,509,5,X
9,216,B,2,1,2,516,336,656,530,518,279,6,X
10,240,A,2,2,1,811,561,536,324,592,551,9,X
11,253,B,2,2,2,755,348,695,564,536,353,6,X
12,276,A,2,1,1,509,463,712,344,830,577,6,A
