ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,23,A,2,1,2,610,436,651,375,543,493,1,X
2,46,B,2,1,2,725,353,582,462,618,376,8,X
3,86,A,2,2,1,876,450,694,359,687,482,7,X
4,110,B,2,2,2,756,356,811,474,684,364,9,X
5,142,A,2,2,1,416,565,721,363,745,489,3,X
6,183,B,1,2,1,539,359,509,561,661,370,3,X
7,213,A,1,2,1,864,557,575,366,565,519,3,X
8,253,B,2,2,1,699,355,817,587,632,370,3,X
9,287,A,2,2,1,492,448,690,361,731,502,7,X
10,313,B,2,1,2,514,389,511,475,651,368,6,X
11,346,A,2,1,2,484,407,561,397,594,491,6,B
