ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,14,A,2,1,2,666,457,614,338,729,528,1,X
2,33,B,2,1,2,769,359,693,478,634,339,6,X
3,55,A,2,1,2,463,604,724,352,696,492,9,X
4,87,B,2,1,1,771,333,517,602,599,336,7,X
5,112,A,2,1,2,481,457,723,327,613,536,6,X
6,140,B,2,1,2,505,352,528,485,632,322,6,X
7,170,A,2,2,2,432,519,542,345,559,491,9,X
8,188,B,2,1,1,502,353,540,530,559,330,7,X
9,210,A,2,2,2,764,439,540,343,568,522,6,X
10,236,B,2,2,2,790,276,700,470,627,330,8,X
11,273,A,1,2,1,447,532,723,289,675,531,5,X
12,289,B,2,1,2,278,556,722,558,754,300,6,A
