ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,6,A,2,1,2,726,447,627,341,728,521,1,X
2,24,B,2,2,2,625,373,704,462,628,340,6,X
3,46,A,2,2,2,856,600,613,354,658,482,8,X
4,86,B,2,2,1,778,319,770,610,635,324,5,X
5,101,A,2,1,2,836,462,626,321,804,624,6,X
6,127,B,2,2,2,811,369,802,476,658,322,6,X
7,152,A,2,1,2,593,606,772,357,741,496,8,X
8,195,B,2,2,1,514,313,616,608,601,320,5,X
9,208,A,2,2,2,501,475,568,316,601,603,6,X
10,234,B,2,1,2,722,386,529,495,599,322,6,X
11,260,A,2,1,2,461,456,679,367,641,497,6,X
12,284,B,2,1,2,747,285,530,462,626,342,8,X
13,315,A,2,2,1,820,529,619,293,646,502,5,X
14,329,B,2,2,2,565,358,710,528,652,294,6,X
15,356,A,2,2,2,469,434,591,354,696,529,6,X
16,384,B,2,1,2,466,389,507,449,584,329,6,X
17,410,A,2,2,2,460,595,488,373,554,471,8,X
18,449,B,2,2,1,510,354,531,578,566,320,7,X
19,476,A,2,2,2,559,456,519,340,568,565,6,X
20,499,B,2,2,2,480,386,555,456,586,334,6,X
21,528,A,2,2,2,507,601,508,371,558,488,8,X
22,579,B,2,2,1,499,314,514,614,572,320,5,X
23,591,A,2,2,2,696,482,559,311,501,603,6,X
24,618,B,2,2,2,431,360,669,501,578,320,6,A
