ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,15,A,2,2,2,441,621,644,330,557,554,2,X
2,76,B,2,2,1,488,326,432,640,591,330,5,X
3,92,A,2,2,2,502,463,525,323,474,599,6,X
4,117,B,2,1,2,731,294,557,484,560,317,8,X
5,150,A,1,2,1,851,617,634,312,670,525,3,X
6,202,B,2,2,1,627,338,811,627,633,320,5,X
7,215,A,2,2,2,532,490,607,330,805,613,6,X
8,245,B,2,1,2,494,329,556,518,605,329,9,X
9,262,A,2,2,1,473,502,591,328,572,507,4,X
10,274,B,2,1,1,549,330,580,515,516,322,4,X
11,291,A,2,2,1,521,451,552,325,633,527,6,X
12,318,B,2,1,2,692,295,535,471,605,333,8,X
13,351,A,1,2,1,822,509,661,297,655,517,5,X
14,368,B,2,2,2,751,324,758,538,664,299,4,X
15,388,A,2,1,1,520,560,668,322,720,532,8,X
16,422,B,1,2,1,452,392,612,560,625,331,7,B
