ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,9,B,2,1,2,609,373,644,478,583,318,1,X
2,48,A,2,1,2,493,569,562,369,618,492,8,X
3,79,B,2,2,1,495,308,536,567,588,319,5,X
4,91,A,2,2,2,441,472,551,308,491,600,6,X
5,117,B,2,1,2,485,379,489,478,546,310,6,X
6,141,A,2,2,2,863,575,528,359,553,489,9,X
7,175,B,2,2,1,521,361,807,595,599,319,7,X
8,201,A,2,2,2,498,428,524,354,737,574,6,X
9,226,B,2,1,2,478,398,518,451,578,338,6,X
10,251,A,2,2,2,486,430,508,382,538,464,6,X
11,273,B,2,1,2,786,385,511,456,568,361,6,B
