ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,23,B,2,1,2,614,357,648,487,578,314,1,X
2,43,A,2,2,2,668,426,600,343,642,488,6,X
3,64,B,2,2,2,505,285,658,440,637,348,8,X
4,98,A,2,2,1,792,432,547,281,645,494,7,X
5,124,B,2,2,2,788,384,750,461,605,294,6,X
6,151,A,2,1,2,806,412,750,359,709,466,6,X
7,172,B,2,2,2,823,380,781,430,719,347,6,X
8,199,A,2,1,2,487,612,767,362,727,449,8,X
9,246,B,2,2,1,749,283,549,602,593,317,3,X
10,287,A,2,2,1,772,509,700,285,657,539,7,X
11,304,B,2,2,2,551,346,737,524,715,280,6,X
12,330,A,2,2,2,495,414,567,337,632,504,6,X
13,357,B,2,1,2,564,276,525,427,584,336,8,X
14,395,A,2,2,1,496,512,593,271,631,507,5,X
15,407,B,2,1,2,544,340,669,512,586,267,6,X
16,434,A,2,2,2,649,442,578,331,605,513,6,X
17,458,B,2,1,2,726,384,680,457,620,324,6,X
18,487,A,2,1,2,855,605,682,363,665,467,8,X
19,523,B,2,2,1,489,319,754,593,631,314,5,B
