ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,0,A,2,1,2,676,447,629,343,733,523,1,X
2,18,B,2,2,2,634,364,684,455,616,339,6,X
3,43,A,2,1,2,583,592,594,355,627,476,8,X
4,88,B,2,2,1,733,355,585,613,585,316,7,X
5,111,A,2,1,2,666,443,697,348,621,603,6,X
6,133,B,2,2,2,678,396,635,467,650,335,6,X
7,157,A,2,2,2,411,599,669,376,635,467,8,X
8,204,B,2,2,1,658,353,522,596,593,312,7,X
9,226,A,2,1,2,511,547,636,346,499,595,8,X
10,257,B,2,2,1,550,305,575,546,600,315,5,X
11,269,A,2,2,2,675,493,561,304,599,569,6,X
12,293,B,2,2,2,659,371,645,514,611,316,6,X
13,319,A,2,2,2,831,649,667,357,640,507,8,B
