ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,13,A,2,1,2,691,443,626,342,724,520,1,X
2,28,B,2,2,1,663,331,688,460,614,338,9,X
3,38,A,2,1,2,531,562,607,337,700,468,8,X
4,75,B,2,2,1,490,318,545,561,573,314,5,X
5,93,A,2,2,2,451,477,554,325,555,604,6,X
6,115,B,2,1,2,708,370,501,505,553,321,6,X
7,141,A,2,1,2,433,595,675,354,618,505,8,X
8,181,B,2,2,1,745,350,543,592,593,318,7,X
9,205,A,2,1,2,831,511,706,345,535,599,6,X
10,225,B,2,2,1,798,354,786,534,665,331,6,X
11,248,A,2,1,2,715,447,758,347,727,518,6,X
12,270,B,2,2,2,801,295,705,463,665,334,9,X
13,296,A,2,2,1,850,602,713,310,727,510,3,X
14,343,B,2,2,1,751,311,814,604,619,316,5,X
15,356,A,2,1,2,811,478,598,315,786,600,6,X
16,380,B,2,2,2,801,368,752,489,668,319,6,X
17,405,A,2,1,2,849,571,765,359,708,493,8,X
18,432,B,2,2,1,742,315,763,585,656,325,5,X
19,446,A,2,1,2,729,478,622,315,745,574,6,X
20,467,B,2,2,2,637,372,695,500,655,328,6,X
21,490,A,2,1,1,504,449,587,371,678,508,6,X
22,516,B,2,1,2,737,288,523,467,610,344,8,X
23,545,A,2,2,1,451,576,645,290,657,513,5,A
