ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,11,B,2,1,2,676,368,619,528,690,342,1,X
2,30,A,2,2,2,671,460,663,364,640,541,6,X
3,55,B,2,2,2,521,292,662,494,639,353,8,X
4,94,A,2,2,1,514,535,558,296,648,542,5,X
5,109,B,2,1,2,777,350,620,539,528,301,6,X
6,137,A,2,1,2,789,547,709,353,638,552,9,X
7,154,B,2,2,1,582,331,674,569,688,352,5,X
8,166,A,2,2,2,500,473,625,333,820,591,6,X
9,197,B,2,1,2,776,291,536,499,612,337,8,X
10,239,A,1,2,1,467,477,710,300,676,558,7,A
