ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,30,B,2,1,2,602,349,648,481,583,311,1,X
2,55,A,2,1,2,403,571,583,348,633,487,8,X
3,83,B,1,2,1,487,312,573,552,587,321,5,X
4,95,A,2,2,2,728,462,552,310,528,576,6,X
5,120,B,2,2,2,779,303,680,469,582,307,9,X
6,141,A,2,1,2,808,432,735,298,739,516,6,X
7,164,B,2,2,2,770,313,780,460,664,310,9,X
8,177,A,2,1,1,674,483,656,315,757,482,5,X
9,186,B,2,1,2,641,345,752,498,721,333,4,X
10,200,A,2,1,1,737,499,627,330,690,502,8,X
11,216,B,2,2,1,585,298,707,491,633,321,5,B
