ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,18,A,2,1,2,713,464,627,344,740,540,1,X
2,41,B,2,2,2,770,302,672,472,620,340,8,X
3,65,A,1,2,1,822,501,650,310,701,508,5,X
4,82,B,2,2,2,564,325,791,530,681,310,4,X
5,99,A,2,2,1,483,529,625,321,702,525,4,X
6,115,B,2,1,1,722,322,566,530,560,323,4,X
7,133,A,2,1,1,564,440,641,325,554,530,6,X
8,160,B,2,1,2,569,408,579,458,641,332,6,X
9,187,A,2,2,2,628,606,591,398,594,482,8,X
10,247,B,2,2,1,502,334,633,621,610,338,5,X
11,262,A,2,2,2,437,502,587,333,647,595,8,X
12,289,B,1,2,1,824,313,552,511,523,331,5,A
