ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,32,B,2,1,2,586,355,667,501,562,309,1,X
2,52,A,2,1,2,464,418,557,343,660,496,6,X
3,80,B,2,1,2,484,382,504,440,598,331,6,X
4,102,A,2,2,2,482,414,529,358,569,452,6,X
5,128,B,2,1,2,660,275,506,431,547,350,8,X
6,173,A,2,2,1,827,580,646,270,650,499,3,X
7,206,B,2,2,1,521,337,772,604,644,295,7,X
8,231,A,2,2,1,462,423,543,330,675,551,6,X
9,261,B,2,1,2,526,272,514,445,590,329,8,X
10,300,A,2,2,1,497,477,564,273,596,508,7,X
11,322,B,2,1,2,477,296,576,503,603,292,9,X
12,346,A,2,2,1,455,437,534,302,597,514,7,A
