Frame,Visibility,X,Y,Time
3,1,723,416,00:00:00.06666666666666667
4,1,723,416,00:00:00.1
5,1,723,416,00:00:00.13333333333333333
6,1,725,415,00:00:00.16666666666666666
7,1,733,348,00:00:00.2
8,1,723,417,00:00:00.23333333333333334
9,1,722,418,00:00:00.26666666666666666
10,0,0,0,00:00:00.3
11,0,0,0,00:00:00.3333333333333333
12,1,647,392,00:00:00.36666666666666664
13,0,0,0,00:00:00.4
14,0,0,0,00:00:00.43333333333333335
15,0,0,0,00:00:00.4666666666666667
16,1,715,311,00:00:00.5
17,1,713,310,00:00:00.5333333333333333
18,1,652,391,00:00:00.5666666666666667
19,1,653,392,00:00:00.6
20,1,725,417,00:00:00.6333333333333333
21,1,657,390,00:00:00.6666666666666666
22,1,661,390,00:00:00.7
23,1,661,388,00:00:00.7333333333333333
24,1,663,386,00:00:00.7666666666666666
25,0,0,0,00:00:00.8
26,1,725,415,00:00:00.8333333333333334
27,1,671,381,00:00:00.8666666666666667
28,1,717,311,00:00:00.9
29,0,0,0,00:00:00.9333333333333333
30,1,680,391,00:00:00.9666666666666667
31,1,681,398,00:00:01.0
32,1,681,396,00:00:01.0333333333333332
33,1,685,406,00:00:01.0666666666666667
34,1,686,411,00:00:01.1
35,1,688,421,00:00:01.1333333333333333
36,1,691,431,00:00:01.1666666666666667
37,1,692,441,00:00:01.2
38,1,692,441,00:00:01.2333333333333334
39,1,695,452,00:00:01.2666666666666666
40,1,738,351,00:00:01.3
41,1,700,271,00:00:01.3333333333333333
42,1,702,173,00:00:01.3666666666666667
43,1,703,107,00:00:01.4
44,1,702,106,00:00:01.4333333333333333
45,1,703,53,00:00:01.4666666666666666
46,1,705,12,00:00:01.5
47,0,0,0,00:00:01.5333333333333332
48,0,0,0,00:00:01.5666666666666667
49,0,0,0,00:00:01.6
50,0,0,0,00:00:01.6333333333333333
51,0,0,0,00:00:01.6666666666666667
52,0,0,0,00:00:01.7
53,0,0,0,00:00:01.7333333333333334
54,0,0,0,00:00:01.7666666666666666
55,0,0,0,00:00:01.8
56,1,605,416,00:00:01.8333333333333333
57,1,606,418,00:00:01.8666666666666667
58,1,608,418,00:00:01.9
59,1,611,420,00:00:01.9333333333333333
60,0,0,0,00:00:01.9666666666666666
61,1,581,425,00:00:02.0
62,1,608,422,00:00:02.033333333333333
63,0,0,0,00:00:02.0666666666666664
64,1,591,466,00:00:02.1
65,0,0,0,00:00:02.1333333333333333
66,0,0,0,00:00:02.1666666666666665
67,0,0,0,00:00:02.2
68,0,0,0,00:00:02.2333333333333334
69,0,0,0,00:00:02.2666666666666666
70,0,0,0,00:00:02.3
71,0,0,0,00:00:02.3333333333333335
72,0,0,0,00:00:02.3666666666666667
73,0,0,0,00:00:02.4
74,0,0,0,00:00:02.433333333333333
75,0,0,0,00:00:02.466666666666667
76,0,0,0,00:00:02.5
77,0,0,0,00:00:02.533333333333333
78,0,0,0,00:00:02.5666666666666664
79,0,0,0,00:00:02.6
80,0,0,0,00:00:02.6333333333333333
81,1,621,581,00:00:02.6666666666666665
82,0,0,0,00:00:02.7
83,0,0,0,00:00:02.7333333333333334
84,0,0,0,00:00:02.7666666666666666
85,0,0,0,00:00:02.8
86,0,0,0,00:00:02.8333333333333335
87,0,0,0,00:00:02.8666666666666667
88,0,0,0,00:00:02.9
89,0,0,0,00:00:02.933333333333333
90,1,736,5,00:00:02.966666666666667
91,1,736,16,00:00:03.0
92,1,736,12,00:00:03.033333333333333
93,1,738,31,00:00:03.0666666666666664
94,1,738,48,00:00:03.1
95,1,741,65,00:00:03.1333333333333333
96,1,741,81,00:00:03.1666666666666665
97,1,741,98,00:00:03.2
98,1,741,97,00:00:03.2333333333333334
99,1,743,116,00:00:03.2666666666666666
100,1,743,133,00:00:03.3
101,1,743,151,00:00:03.3333333333333335
102,1,746,167,00:00:03.3666666666666667
103,1,746,186,00:00:03.4
104,1,746,183,00:00:03.433333333333333
105,1,746,201,00:00:03.466666666666667
106,1,756,235,00:00:03.5
107,1,765,262,00:00:03.533333333333333
108,1,767,282,00:00:03.5666666666666664
109,1,771,301,00:00:03.6
110,0,0,0,00:00:03.6333333333333333
111,1,776,321,00:00:03.6666666666666665
112,1,778,338,00:00:03.6999999999999997
113,1,781,356,00:00:03.7333333333333334
114,1,783,373,00:00:03.7666666666666666
115,1,786,390,00:00:03.8
116,1,786,387,00:00:03.8333333333333335
117,1,786,406,00:00:03.8666666666666667
118,1,788,425,00:00:03.9
119,1,788,441,00:00:03.933333333333333
120,1,791,461,00:00:03.966666666666667
121,1,791,477,00:00:04.0
122,1,791,476,00:00:04.033333333333333
123,1,791,473,00:00:04.066666666666666
124,1,791,443,00:00:04.1
125,1,791,416,00:00:04.133333333333333
126,1,791,395,00:00:04.166666666666667
127,1,791,376,00:00:04.2
128,1,791,378,00:00:04.233333333333333
129,1,791,361,00:00:04.266666666666667
130,1,791,346,00:00:04.3
131,1,791,336,00:00:04.333333333333333
132,1,791,326,00:00:04.366666666666666
133,1,791,318,00:00:04.4
134,1,791,321,00:00:04.433333333333334
135,1,788,313,00:00:04.466666666666667
136,1,788,308,00:00:04.5
137,1,788,306,00:00:04.533333333333333
138,1,788,303,00:00:04.566666666666666
139,1,790,302,00:00:04.6
140,0,0,0,00:00:04.633333333333333
141,1,788,305,00:00:04.666666666666667
142,1,788,308,00:00:04.7
143,1,788,311,00:00:04.733333333333333
144,1,788,316,00:00:04.766666666666667
145,1,788,321,00:00:04.8
146,1,788,321,00:00:04.833333333333333
147,1,790,327,00:00:04.866666666666666
148,1,788,336,00:00:04.9
149,1,788,346,00:00:04.933333333333334
150,0,0,0,00:00:04.966666666666667
151,0,0,0,00:00:05.0
152,0,0,0,00:00:05.033333333333333
153,0,0,0,00:00:05.066666666666666
154,0,0,0,00:00:05.1
155,1,710,333,00:00:05.133333333333333
156,1,691,328,00:00:05.166666666666667
157,1,673,326,00:00:05.2
158,1,676,325,00:00:05.233333333333333
159,1,657,323,00:00:05.266666666666667
160,1,642,325,00:00:05.3
161,1,628,326,00:00:05.333333333333333
162,1,615,328,00:00:05.366666666666666
163,1,601,331,00:00:05.4
164,1,603,331,00:00:05.433333333333334
165,1,591,338,00:00:05.466666666666667
166,1,578,346,00:00:05.5
167,1,567,352,00:00:05.533333333333333
168,1,573,295,00:00:05.566666666666666
169,1,578,251,00:00:05.6
170,1,576,255,00:00:05.633333333333333
171,1,583,216,00:00:05.666666666666667
172,1,587,192,00:00:05.7
173,1,591,171,00:00:05.733333333333333
174,1,593,153,00:00:05.766666666666667
175,1,596,141,00:00:05.8
176,1,596,142,00:00:05.833333333333333
177,1,596,131,00:00:05.866666666666666
178,1,598,122,00:00:05.9
179,1,601,116,00:00:05.933333333333334
180,1,601,112,00:00:05.966666666666667
181,1,603,111,00:00:06.0
182,1,603,110,00:00:06.033333333333333
183,1,605,108,00:00:06.066666666666666
184,1,606,108,00:00:06.1
185,1,606,110,00:00:06.133333333333333
186,1,608,111,00:00:06.166666666666667
187,1,608,116,00:00:06.2
188,1,608,115,00:00:06.233333333333333
189,1,611,118,00:00:06.266666666666667
190,1,611,123,00:00:06.3
191,1,611,131,00:00:06.333333333333333
192,1,613,136,00:00:06.366666666666666
193,1,613,146,00:00:06.4
194,1,613,145,00:00:06.433333333333334
195,1,616,152,00:00:06.466666666666667
196,1,616,162,00:00:06.5
197,1,616,173,00:00:06.533333333333333
198,1,618,183,00:00:06.566666666666666
199,1,618,193,00:00:06.6
200,1,618,193,00:00:06.633333333333333
201,1,620,206,00:00:06.666666666666667
202,1,641,196,00:00:06.7
203,1,613,271,00:00:06.733333333333333
204,1,686,153,00:00:06.766666666666667
205,1,703,138,00:00:06.8
206,1,701,140,00:00:06.833333333333333
207,1,718,126,00:00:06.866666666666666
208,1,733,116,00:00:06.8999999999999995
209,1,746,108,00:00:06.933333333333334
210,1,756,103,00:00:06.966666666666667
211,1,766,98,00:00:07.0
212,1,766,100,00:00:07.033333333333333
213,1,776,97,00:00:07.066666666666666
214,1,786,96,00:00:07.1
215,1,793,96,00:00:07.133333333333333
216,1,801,98,00:00:07.166666666666667
217,1,808,101,00:00:07.2
218,1,807,101,00:00:07.233333333333333
219,1,816,106,00:00:07.266666666666667
220,1,821,113,00:00:07.3
221,1,826,121,00:00:07.333333333333333
222,1,831,131,00:00:07.366666666666666
223,1,836,141,00:00:07.3999999999999995
224,1,836,138,00:00:07.433333333333334
225,1,841,151,00:00:07.466666666666667
226,1,846,163,00:00:07.5
227,1,850,176,00:00:07.533333333333333
228,1,853,191,00:00:07.566666666666666
229,1,856,208,00:00:07.6
230,1,856,206,00:00:07.633333333333333
231,1,858,223,00:00:07.666666666666667
232,1,861,241,00:00:07.7
233,1,863,261,00:00:07.733333333333333
234,1,866,281,00:00:07.766666666666667
235,1,868,301,00:00:07.8
236,1,867,298,00:00:07.833333333333333
237,1,870,321,00:00:07.866666666666666
238,1,871,342,00:00:07.8999999999999995
239,1,871,366,00:00:07.933333333333334
240,1,873,387,00:00:07.966666666666667
241,1,868,387,00:00:08.0
242,1,866,383,00:00:08.033333333333333
243,1,855,330,00:00:08.066666666666666
244,1,856,456,00:00:08.1
245,1,841,273,00:00:08.133333333333333
246,1,836,260,00:00:08.166666666666666
247,1,831,248,00:00:08.2
248,1,831,251,00:00:08.233333333333333
249,1,828,241,00:00:08.266666666666666
250,1,826,233,00:00:08.3
251,1,823,231,00:00:08.333333333333334
252,1,821,226,00:00:08.366666666666667
253,1,821,226,00:00:08.4
254,1,821,226,00:00:08.433333333333334
255,1,818,226,00:00:08.466666666666667
256,1,816,227,00:00:08.5
257,1,816,230,00:00:08.533333333333333
258,1,816,232,00:00:08.566666666666666
259,1,816,236,00:00:08.6
260,1,816,236,00:00:08.633333333333333
261,1,813,241,00:00:08.666666666666666
262,1,813,246,00:00:08.7
263,1,812,253,00:00:08.733333333333333
264,1,811,261,00:00:08.766666666666666
265,1,811,268,00:00:08.8
266,1,811,268,00:00:08.833333333333334
267,1,811,276,00:00:08.866666666666667
268,1,811,286,00:00:08.9
269,1,811,296,00:00:08.933333333333334
270,1,811,306,00:00:08.966666666666667
271,1,811,317,00:00:09.0
272,0,0,0,00:00:09.033333333333333
273,0,0,0,00:00:09.066666666666666
274,0,0,0,00:00:09.1
275,0,0,0,00:00:09.133333333333333
276,0,0,0,00:00:09.166666666666666
277,0,0,0,00:00:09.2
278,0,0,0,00:00:09.233333333333333
279,0,0,0,00:00:09.266666666666666
280,0,0,0,00:00:09.3
281,0,0,0,00:00:09.333333333333334
282,0,0,0,00:00:09.366666666666667
283,0,0,0,00:00:09.4
284,1,803,320,00:00:09.433333333333334
285,0,0,0,00:00:09.466666666666667
286,0,0,0,00:00:09.5
287,0,0,0,00:00:09.533333333333333
288,0,0,0,00:00:09.566666666666666
289,0,0,0,00:00:09.6
290,0,0,0,00:00:09.633333333333333
291,1,800,375,00:00:09.666666666666666
292,1,800,375,00:00:09.7
293,0,0,0,00:00:09.733333333333333
294,0,0,0,00:00:09.766666666666666
295,1,706,460,00:00:09.8
296,1,856,388,00:00:09.833333333333334
297,1,711,456,00:00:09.866666666666667
298,1,796,377,00:00:09.9
299,1,796,377,00:00:09.933333333333334
300,1,795,377,00:00:09.966666666666667
301,1,793,377,00:00:10.0
302,1,793,377,00:00:10.033333333333333
303,0,0,0,00:00:10.066666666666666
304,1,793,378,00:00:10.1
305,0,0,0,00:00:10.133333333333333
306,1,792,377,00:00:10.166666666666666
307,1,791,376,00:00:10.2
308,1,717,416,00:00:10.233333333333333
309,1,792,376,00:00:10.266666666666666
310,1,791,376,00:00:10.3
311,0,0,0,00:00:10.333333333333334
312,1,718,410,00:00:10.366666666666667
313,0,0,0,00:00:10.4
314,0,0,0,00:00:10.433333333333334
315,0,0,0,00:00:10.466666666666667
316,0,0,0,00:00:10.5
317,0,0,0,00:00:10.533333333333333
