Frame,Visibility,X,Y,Time
3,1,661,265,00:00:00.06666666666666667
4,0,0,0,00:00:00.1
5,0,0,0,00:00:00.13333333333333333
6,0,0,0,00:00:00.16666666666666666
7,0,0,0,00:00:00.2
8,1,638,133,00:00:00.23333333333333334
9,1,637,138,00:00:00.26666666666666666
10,1,638,137,00:00:00.3
11,0,0,0,00:00:00.3333333333333333
12,0,0,0,00:00:00.36666666666666664
13,1,636,138,00:00:00.4
14,1,638,140,00:00:00.43333333333333335
15,0,0,0,00:00:00.4666666666666667
16,0,0,0,00:00:00.5
17,1,661,262,00:00:00.5333333333333333
18,1,661,262,00:00:00.5666666666666667
19,0,0,0,00:00:00.6
20,0,0,0,00:00:00.6333333333333333
21,0,0,0,00:00:00.6666666666666666
22,1,633,166,00:00:00.7
23,1,662,263,00:00:00.7333333333333333
24,1,663,262,00:00:00.7666666666666666
25,1,616,235,00:00:00.8
26,0,0,0,00:00:00.8333333333333334
27,0,0,0,00:00:00.8666666666666667
28,0,0,0,00:00:00.9
29,0,0,0,00:00:00.9333333333333333
30,0,0,0,00:00:00.9666666666666667
31,0,0,0,00:00:01.0
32,1,686,251,00:00:01.0333333333333332
33,1,696,246,00:00:01.0666666666666667
34,1,703,243,00:00:01.1
35,1,703,243,00:00:01.1333333333333333
36,1,708,245,00:00:01.1666666666666667
37,1,715,246,00:00:01.2
38,1,721,247,00:00:01.2333333333333334
39,1,727,251,00:00:01.2666666666666666
40,1,732,256,00:00:01.3
41,1,732,256,00:00:01.3333333333333333
42,1,737,260,00:00:01.3666666666666667
43,1,743,266,00:00:01.4
44,1,748,273,00:00:01.4333333333333333
45,1,753,281,00:00:01.4666666666666666
46,1,758,291,00:00:01.5
47,1,757,291,00:00:01.5333333333333332
48,1,761,301,00:00:01.5666666666666667
49,1,766,313,00:00:01.6
50,1,770,326,00:00:01.6333333333333333
51,1,772,338,00:00:01.6666666666666667
52,1,776,351,00:00:01.7
53,1,776,350,00:00:01.7333333333333334
54,1,778,337,00:00:01.7666666666666666
55,1,781,320,00:00:01.8
56,1,781,306,00:00:01.8333333333333333
57,1,781,296,00:00:01.8666666666666667
58,1,781,286,00:00:01.9
59,1,781,286,00:00:01.9333333333333333
60,1,781,280,00:00:01.9666666666666666
61,1,781,272,00:00:02.0
62,1,782,270,00:00:02.033333333333333
63,1,783,270,00:00:02.0666666666666664
64,1,785,270,00:00:02.1
65,1,783,270,00:00:02.1333333333333333
66,1,783,271,00:00:02.1666666666666665
67,1,783,272,00:00:02.2
68,1,783,273,00:00:02.2333333333333334
69,1,783,275,00:00:02.2666666666666666
70,1,783,280,00:00:02.3
71,1,783,280,00:00:02.3333333333333335
72,1,785,281,00:00:02.3666666666666667
73,1,783,291,00:00:02.4
74,1,783,296,00:00:02.433333333333333
75,1,785,305,00:00:02.466666666666667
76,1,783,313,00:00:02.5
77,1,783,313,00:00:02.533333333333333
78,1,783,321,00:00:02.5666666666666664
79,1,787,306,00:00:02.6
80,1,791,285,00:00:02.6333333333333333
81,0,0,0,00:00:02.6666666666666665
82,1,795,258,00:00:02.7
83,0,0,0,00:00:02.7333333333333334
84,1,796,248,00:00:02.7666666666666666
85,1,796,240,00:00:02.8
86,1,798,232,00:00:02.8333333333333335
87,1,798,226,00:00:02.8666666666666667
88,1,800,222,00:00:02.9
89,1,800,222,00:00:02.933333333333333
90,1,801,218,00:00:02.966666666666667
91,1,801,218,00:00:03.0
92,1,801,220,00:00:03.033333333333333
93,1,801,221,00:00:03.0666666666666664
94,1,801,225,00:00:03.1
95,1,801,225,00:00:03.1333333333333333
96,1,801,230,00:00:03.1666666666666665
97,1,801,236,00:00:03.2
98,1,801,242,00:00:03.2333333333333334
99,1,800,251,00:00:03.2666666666666666
100,1,800,261,00:00:03.3
101,1,801,261,00:00:03.3333333333333335
102,1,798,273,00:00:03.3666666666666667
103,1,796,286,00:00:03.4
104,1,796,296,00:00:03.433333333333333
105,0,0,0,00:00:03.466666666666667
106,0,0,0,00:00:03.5
107,0,0,0,00:00:03.533333333333333
108,0,0,0,00:00:03.5666666666666664
109,1,602,258,00:00:03.6
110,1,586,261,00:00:03.6333333333333333
111,1,571,261,00:00:03.6666666666666665
112,1,558,261,00:00:03.6999999999999997
113,1,560,261,00:00:03.7333333333333334
114,1,550,261,00:00:03.7666666666666666
115,1,540,262,00:00:03.8
116,1,532,266,00:00:03.8333333333333335
117,1,526,268,00:00:03.8666666666666667
118,1,520,273,00:00:03.9
119,1,520,273,00:00:03.933333333333333
120,1,516,276,00:00:03.966666666666667
121,1,510,281,00:00:04.0
122,1,508,283,00:00:04.033333333333333
123,0,0,0,00:00:04.066666666666666
124,1,498,278,00:00:04.1
125,1,498,278,00:00:04.133333333333333
126,1,571,247,00:00:04.166666666666667
127,0,0,0,00:00:04.2
128,0,0,0,00:00:04.233333333333333
129,0,0,0,00:00:04.266666666666667
130,1,483,267,00:00:04.3
131,0,0,0,00:00:04.333333333333333
132,1,540,252,00:00:04.366666666666666
133,1,481,266,00:00:04.4
134,1,480,267,00:00:04.433333333333334
135,1,480,266,00:00:04.466666666666667
136,1,478,266,00:00:04.5
137,0,0,0,00:00:04.533333333333333
138,0,0,0,00:00:04.566666666666666
139,1,523,266,00:00:04.6
140,0,0,0,00:00:04.633333333333333
141,1,471,260,00:00:04.666666666666667
142,1,467,260,00:00:04.7
143,0,0,0,00:00:04.733333333333333
144,1,466,258,00:00:04.766666666666667
145,1,467,258,00:00:04.8
146,0,0,0,00:00:04.833333333333333
147,0,0,0,00:00:04.866666666666666
148,0,0,0,00:00:04.9
149,1,476,310,00:00:04.933333333333334
150,1,473,310,00:00:04.966666666666667
