Frame,Visibility,X,Y,Time
3,0,0,0,00:00:00.06666666666666667
4,0,0,0,00:00:00.1
5,0,0,0,00:00:00.13333333333333333
6,0,0,0,00:00:00.16666666666666666
7,0,0,0,00:00:00.2
8,0,0,0,00:00:00.23333333333333334
9,0,0,0,00:00:00.26666666666666666
10,0,0,0,00:00:00.3
11,0,0,0,00:00:00.3333333333333333
12,0,0,0,00:00:00.36666666666666664
13,0,0,0,00:00:00.4
14,1,535,570,00:00:00.43333333333333335
15,0,0,0,00:00:00.4666666666666667
16,0,0,0,00:00:00.5
17,0,0,0,00:00:00.5333333333333333
18,0,0,0,00:00:00.5666666666666667
19,0,0,0,00:00:00.6
20,1,516,573,00:00:00.6333333333333333
21,0,0,0,00:00:00.6666666666666666
22,1,631,308,00:00:00.7
23,1,621,227,00:00:00.7333333333333333
24,1,621,230,00:00:00.7666666666666666
25,1,616,183,00:00:00.8
26,1,612,143,00:00:00.8333333333333334
27,1,607,101,00:00:00.8666666666666667
28,1,603,73,00:00:00.9
29,1,601,41,00:00:00.9333333333333333
30,1,601,45,00:00:00.9666666666666667
31,1,598,18,00:00:01.0
32,1,596,5,00:00:01.0333333333333332
33,0,0,0,00:00:01.0666666666666667
34,0,0,0,00:00:01.1
35,0,0,0,00:00:01.1333333333333333
36,0,0,0,00:00:01.1666666666666667
37,0,0,0,00:00:01.2
38,0,0,0,00:00:01.2333333333333334
39,0,0,0,00:00:01.2666666666666666
40,0,0,0,00:00:01.3
41,0,0,0,00:00:01.3333333333333333
42,0,0,0,00:00:01.3666666666666667
43,0,0,0,00:00:01.4
44,0,0,0,00:00:01.4333333333333333
45,0,0,0,00:00:01.4666666666666666
46,0,0,0,00:00:01.5
47,0,0,0,00:00:01.5333333333333332
48,0,0,0,00:00:01.5666666666666667
49,0,0,0,00:00:01.6
50,0,0,0,00:00:01.6333333333333333
51,0,0,0,00:00:01.6666666666666667
52,0,0,0,00:00:01.7
53,0,0,0,00:00:01.7333333333333334
54,0,0,0,00:00:01.7666666666666666
55,0,0,0,00:00:01.8
56,0,0,0,00:00:01.8333333333333333
57,0,0,0,00:00:01.8666666666666667
58,0,0,0,00:00:01.9
59,0,0,0,00:00:01.9333333333333333
60,0,0,0,00:00:01.9666666666666666
61,0,0,0,00:00:02.0
62,1,566,277,00:00:02.033333333333333
63,1,585,10,00:00:02.0666666666666664
64,1,586,23,00:00:02.1
65,1,586,38,00:00:02.1333333333333333
66,1,586,36,00:00:02.1666666666666665
67,1,586,53,00:00:02.2
68,1,586,66,00:00:02.2333333333333334
69,1,586,82,00:00:02.2666666666666666
70,1,588,96,00:00:02.3
71,1,588,112,00:00:02.3333333333333335
72,1,588,110,00:00:02.3666666666666667
73,1,588,128,00:00:02.4
74,1,588,143,00:00:02.433333333333333
75,1,590,161,00:00:02.466666666666667
76,1,591,176,00:00:02.5
77,1,591,192,00:00:02.533333333333333
78,1,591,188,00:00:02.5666666666666664
79,1,591,205,00:00:02.6
80,1,625,198,00:00:02.6333333333333333
81,1,651,191,00:00:02.6666666666666665
82,1,668,188,00:00:02.7
83,1,683,186,00:00:02.7333333333333334
84,1,681,186,00:00:02.7666666666666666
85,1,698,186,00:00:02.8
86,1,708,186,00:00:02.8333333333333335
87,1,721,187,00:00:02.8666666666666667
88,1,613,328,00:00:02.9
89,1,741,193,00:00:02.933333333333333
90,1,741,192,00:00:02.966666666666667
91,1,751,198,00:00:03.0
92,1,758,203,00:00:03.033333333333333
93,1,766,211,00:00:03.0666666666666664
94,1,773,216,00:00:03.1
95,1,781,225,00:00:03.1333333333333333
96,1,781,223,00:00:03.1666666666666665
97,1,788,236,00:00:03.2
98,1,793,245,00:00:03.2333333333333334
99,1,801,256,00:00:03.2666666666666666
100,1,806,268,00:00:03.3
101,1,811,281,00:00:03.3333333333333335
102,1,811,278,00:00:03.3666666666666667
103,1,816,296,00:00:03.4
104,1,821,308,00:00:03.433333333333333
105,1,826,326,00:00:03.466666666666667
106,1,828,341,00:00:03.5
107,1,833,356,00:00:03.533333333333333
108,1,831,356,00:00:03.5666666666666664
109,1,836,376,00:00:03.6
110,1,841,391,00:00:03.6333333333333333
111,1,843,411,00:00:03.6666666666666665
112,1,846,423,00:00:03.6999999999999997
113,1,847,445,00:00:03.7333333333333334
114,1,846,443,00:00:03.7666666666666666
115,0,0,0,00:00:03.8
116,0,0,0,00:00:03.8333333333333335
117,0,0,0,00:00:03.8666666666666667
118,1,806,351,00:00:03.9
119,1,801,341,00:00:03.933333333333333
120,1,801,342,00:00:03.966666666666667
121,1,797,333,00:00:04.0
122,1,793,328,00:00:04.033333333333333
