ShotSeq ,HitFrame ,Hitter ,RoundHead ,Backhand ,BallHeight ,LandingX ,LandingY ,HitterLocationX ,HitterLocationY ,DefenderLocationX ,DefenderLocationY ,BallType ,Winner
      1 ,      32 ,A      ,        2 ,       1 ,         2 ,     689 ,     533 ,            627 ,            438 ,              712 ,              600 ,       1 ,X
      2 ,      57 ,B      ,        2 ,       2 ,         2 ,     763 ,     480 ,            657 ,            556 ,              613 ,              433 ,       6 ,X
      3 ,      84 ,A      ,        2 ,       1 ,         2 ,     775 ,     511 ,            719 ,            462 ,              677 ,              571 ,       6 ,X
      4 ,     110 ,B      ,        2 ,       2 ,         2 ,     497 ,     377 ,            766 ,            535 ,              673 ,              445 ,       8 ,X
      5 ,     156 ,A      ,        2 ,       2 ,         1 ,     480 ,     556 ,            528 ,            374 ,              645 ,              570 ,       7 ,X
      6 ,     177 ,B      ,        2 ,       1 ,         2 ,     466 ,     469 ,            523 ,            564 ,              576 ,              401 ,       6 ,X
      7 ,     206 ,A      ,        2 ,       2 ,         2 ,     847 ,     653 ,            501 ,            441 ,              580 ,              577 ,       8 ,X
      8 ,     242 ,B      ,        2 ,       2 ,         1 ,     538 ,     460 ,            784 ,            649 ,              621 ,              424 ,       7 ,X
      9 ,     267 ,A      ,        2 ,       2 ,         1 ,     649 ,     528 ,            557 ,            445 ,              701 ,              610 ,       6 ,X
     10 ,     294 ,B      ,        2 ,       2 ,         2 ,     805 ,     471 ,            644 ,            560 ,              617 ,              437 ,       6 ,X
     11 ,     324 ,A      ,        2 ,       1 ,         2 ,     805 ,     514 ,            755 ,            460 ,              706 ,              590 ,       6 ,X
     12 ,     349 ,B      ,        2 ,       2 ,         2 ,     826 ,     494 ,            766 ,            546 ,              680 ,              438 ,       6 ,X
     13 ,     377 ,A      ,        2 ,       1 ,         2 ,     753 ,     653 ,            793 ,            478 ,              711 ,              553 ,       8 ,X
     14 ,     427 ,B      ,        2 ,       2 ,         1 ,     663 ,     419 ,            720 ,            656 ,              623 ,              411 ,       5 ,X
     15 ,     439 ,A      ,        2 ,       1 ,         2 ,     555 ,     520 ,            604 ,            404 ,              756 ,              641 ,       6 ,X
     16 ,     467 ,B      ,        2 ,       1 ,         2 ,     511 ,     493 ,            579 ,            549 ,              631 ,              414 ,       6 ,X
     17 ,     495 ,A      ,        2 ,       2 ,         2 ,     745 ,     665 ,            536 ,            473 ,              577 ,              547 ,       8 ,X
     18 ,     548 ,B      ,        2 ,       2 ,         1 ,     796 ,     434 ,            696 ,            672 ,              611 ,              420 ,       7 ,X
     19 ,     571 ,A      ,        2 ,       1 ,         2 ,     832 ,     531 ,            757 ,            426 ,              709 ,              620 ,       6 ,X
     20 ,     596 ,B      ,        2 ,       2 ,         2 ,     808 ,     372 ,            792 ,            553 ,              680 ,              422 ,       9 ,B
