ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,32,A,2,1,2,591,435,651,326,557,517,1,X
2,53,B,2,2,2,538,385,576,457,650,322,6,X
3,79,A,2,2,2,617,583,569,370,603,470,8,X
4,121,B,2,2,1,533,360,610,583,602,312,7,X
5,146,A,2,2,2,523,596,536,340,574,563,8,X
6,184,B,2,2,1,718,334,563,578,591,322,7,X
7,205,A,2,1,2,495,433,670,324,558,595,6,X
8,234,B,2,1,2,759,378,521,463,624,320,6,X
9,259,A,2,1,2,473,574,728,355,651,476,8,X
10,294,B,2,1,1,777,279,507,599,632,322,3,X
11,330,A,1,2,1,800,511,685,282,672,525,7,X
12,348,B,2,2,1,584,370,734,532,734,283,6,X
13,374,A,2,2,2,876,591,568,347,670,524,8,X
14,413,B,2,2,1,732,317,796,604,627,312,5,X
15,425,A,2,1,2,675,470,626,311,848,650,6,X
16,451,B,2,1,2,765,369,690,486,637,302,6,X
17,478,A,2,1,2,836,598,739,348,685,493,8,X
18,513,B,2,2,1,774,290,787,607,663,324,3,X
19,542,A,1,2,1,803,515,700,292,734,557,5,X
20,554,B,2,2,2,586,335,739,532,712,288,6,X
21,582,A,2,2,1,485,505,624,331,688,523,4,X
22,596,B,2,1,1,526,338,641,526,614,325,6,X
23,616,A,2,2,2,472,439,569,327,591,503,6,X
24,645,B,2,1,2,692,374,509,464,603,324,6,X
25,673,A,2,1,2,409,587,654,362,613,468,8,X
26,714,B,2,1,1,559,259,444,607,589,323,3,A
