ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,8,A,2,1,2,805,450,631,341,727,522,1,X
2,30,B,2,2,2,787,372,770,458,649,335,6,X
3,51,A,2,1,2,526,451,737,366,720,488,6,X
4,73,B,2,1,2,716,388,573,465,655,345,6,X
5,97,A,2,1,2,686,430,670,370,646,491,6,X
6,121,B,2,2,2,660,389,655,447,646,347,6,X
7,150,A,2,2,2,598,590,678,370,660,449,8,X
8,197,B,2,2,1,480,355,610,596,596,317,7,X
9,221,A,2,2,2,472,455,497,343,595,581,6,X
10,246,B,2,1,2,698,311,510,469,577,339,9,X
11,263,A,2,2,1,890,610,604,324,582,495,5,A
