ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,8,A,2,1,2,520,451,655,343,523,541,1,X
2,23,B,2,2,2,518,280,528,462,615,339,8,X
3,60,A,2,2,1,461,540,539,277,625,523,5,X
4,73,B,2,1,2,509,357,672,537,532,280,6,X
5,97,A,2,2,2,498,507,563,351,622,530,9,X
6,110,B,2,1,1,582,336,599,505,560,348,4,X
7,119,A,2,1,1,568,511,552,332,526,486,4,X
8,130,B,2,1,2,612,364,652,510,573,334,6,X
9,150,A,2,1,2,493,453,581,351,623,501,6,X
10,172,B,2,1,2,479,291,538,458,608,345,9,X
11,200,A,2,2,2,441,527,520,290,578,501,4,X
12,216,B,2,1,2,782,361,620,527,548,306,6,X
13,241,A,2,1,2,487,450,741,350,601,522,6,X
14,269,B,2,1,2,739,278,535,465,650,346,8,X
15,310,A,2,2,1,512,539,715,283,689,534,5,X
16,325,B,2,1,2,502,337,732,542,714,283,6,X
17,356,A,2,2,2,867,583,552,334,573,513,9,X
18,389,B,2,2,2,780,312,802,594,632,322,4,X
19,406,A,2,1,1,501,457,668,318,783,565,6,X
20,433,B,2,1,2,715,263,527,474,654,324,8,A
