ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,54,A,2,1,2,723,438,624,374,735,496,1,X
2,78,B,2,1,2,805,393,699,453,626,378,6,X
3,110,A,2,1,2,683,557,735,394,701,458,8,X
4,161,B,2,2,1,514,379,720,566,634,376,7,X
5,185,A,2,2,2,340,557,548,381,601,541,8,X
6,218,B,2,2,1,737,355,419,591,582,374,3,X
7,245,A,1,2,1,926,537,651,361,593,520,3,X
8,278,B,1,2,1,744,372,861,545,658,372,7,X
9,301,A,2,1,2,816,429,711,377,885,550,6,X
10,331,B,2,1,2,812,395,782,450,662,378,6,X
11,361,A,2,1,2,871,454,759,393,775,445,8,X
12,415,B,2,2,1,676,360,816,464,665,371,5,B
