ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,19,A,2,1,2,552,434,649,374,511,503,1,X
2,41,B,2,2,2,696,357,579,458,645,376,8,X
3,76,A,1,2,1,391,534,663,360,598,480,3,X
4,107,B,2,2,1,560,391,444,567,621,374,7,X
5,138,A,2,2,2,607,426,570,382,551,485,6,X
6,169,B,2,2,2,654,397,584,442,608,384,6,X
7,193,A,2,2,2,839,552,660,394,592,435,8,X
8,250,B,1,2,1,544,372,819,569,638,374,5,X
9,270,A,2,2,2,511,483,590,370,762,546,4,X
10,288,B,2,2,1,728,366,561,517,592,369,4,X
11,304,A,2,1,1,924,377,665,377,605,503,6,B
