ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,31,A,2,1,2,603,437,656,335,561,528,1,X
2,50,B,2,2,2,611,362,572,453,621,328,6,X
3,70,A,2,1,2,481,426,583,357,599,476,6,X
4,91,B,2,1,2,519,295,545,456,598,329,8,X
5,112,A,2,2,1,811,426,595,302,580,468,7,X
6,141,B,2,2,2,720,281,774,450,606,299,8,X
7,177,A,2,2,1,493,457,718,285,707,502,7,X
8,200,B,2,1,2,736,355,515,478,653,282,6,X
9,223,A,2,1,2,841,575,690,341,626,508,8,X
10,254,B,2,2,1,766,351,773,582,637,300,7,X
11,280,A,2,1,2,536,419,730,334,718,546,6,X
12,306,B,2,1,2,513,386,534,441,637,319,6,X
13,333,A,2,2,2,870,618,543,363,592,472,8,X
14,388,B,2,2,1,470,316,817,632,641,315,7,X
15,413,A,2,2,2,462,434,513,318,682,544,6,X
16,443,B,2,1,2,497,376,490,458,588,324,6,X
17,471,A,2,2,2,487,561,512,355,547,480,8,X
18,510,B,2,2,1,799,289,501,573,579,304,5,B
