ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,14,A,2,1,2,547,468,653,348,522,538,1,X
2,30,B,2,1,2,771,352,587,472,619,336,6,X
3,51,A,2,1,2,618,452,729,348,646,499,6,X
4,74,B,2,1,2,735,290,681,463,654,340,8,X
5,102,A,2,2,1,536,530,676,291,704,522,5,X
6,116,B,2,1,2,566,342,746,540,682,290,6,X
7,143,A,2,2,2,613,444,588,337,596,512,6,X
8,165,B,2,2,2,501,382,593,464,594,334,6,X
9,180,A,2,2,1,756,435,533,363,612,478,6,X
10,204,B,2,2,2,547,280,735,450,620,342,8,X
11,242,A,2,2,1,832,525,579,276,676,506,5,X
12,256,B,2,2,2,786,336,705,529,538,269,6,X
13,287,A,2,1,1,718,429,759,328,793,523,9,A
