ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,21,A,2,2,2,553,661,648,441,515,636,2,X
2,83,B,2,2,1,770,383,533,668,623,423,3,X
3,122,A,2,2,1,771,538,702,386,686,611,7,X
4,153,B,2,2,2,783,485,714,551,695,403,6,X
5,184,A,2,1,2,747,655,751,472,713,559,8,X
6,249,B,2,2,1,815,443,716,663,652,422,7,X
7,274,A,2,1,2,825,519,787,435,706,609,6,X
8,303,B,2,2,2,490,376,786,529,722,437,8,X
9,345,A,2,2,2,757,542,539,371,638,578,4,X
10,369,B,2,2,2,776,462,724,551,535,382,6,X
11,394,A,2,1,2,493,604,746,453,729,558,8,X
12,442,B,2,1,1,766,378,510,621,619,425,3,X
13,480,A,2,2,1,807,604,704,382,661,599,3,X
14,505,B,2,2,1,783,479,728,607,716,392,7,X
15,532,A,2,1,2,792,510,746,460,740,611,6,X
16,564,B,2,2,2,792,485,763,526,699,466,6,X
17,585,A,2,1,1,742,530,739,472,760,522,9,A
