ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,29,B,2,1,2,663,353,626,483,693,306,1,X
2,51,A,2,1,2,405,577,635,349,648,487,8,X
3,86,B,1,2,1,698,277,581,558,591,314,3,X
4,123,A,2,2,1,845,507,677,270,658,545,5,X
5,136,B,2,2,2,779,356,699,542,677,272,6,X
6,164,A,2,1,2,538,591,745,341,789,517,8,X
7,200,B,2,2,1,538,310,580,575,610,312,5,X
8,212,A,2,2,2,782,451,585,305,563,597,6,X
9,241,B,2,2,2,789,297,753,477,632,300,8,X
10,265,A,2,1,1,867,575,721,308,758,499,3,X
11,297,B,2,2,1,771,307,827,602,670,309,5,X
12,314,A,2,1,2,648,464,694,319,771,568,6,X
13,337,B,2,1,2,659,360,688,487,659,314,6,X
14,358,A,2,1,2,480,416,631,351,656,488,6,X
15,382,B,2,1,2,736,380,520,448,611,334,6,X
16,410,A,2,1,2,399,596,698,367,636,460,8,X
17,456,B,2,1,1,558,274,444,619,601,319,3,X
18,495,A,2,2,1,438,457,583,267,642,525,7,X
19,519,B,2,1,2,468,376,473,482,614,281,6,X
20,549,A,2,2,2,827,411,513,357,561,477,6,X
21,579,B,2,2,2,819,381,742,435,639,334,6,X
22,601,A,2,1,1,405,581,782,356,853,467,9,A
