ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,6,B,2,1,2,633,383,649,514,577,331,1,X
2,28,A,2,1,2,534,606,594,372,648,518,8,X
3,59,B,1,2,1,563,319,593,596,600,327,5,X
4,71,A,2,2,2,795,486,571,316,603,608,6,X
5,102,B,2,2,2,789,384,743,518,659,331,6,X
6,124,A,2,1,2,519,617,753,373,696,519,8,X
7,157,B,1,2,1,550,329,603,604,616,334,5,X
8,176,A,2,2,2,685,473,577,329,570,597,6,X
9,199,B,2,2,2,559,335,654,510,619,335,9,X
10,212,A,2,2,2,403,618,593,338,656,505,8,X
11,247,B,1,2,1,659,352,546,582,573,333,7,X
12,270,A,2,2,2,835,462,700,348,504,588,6,X
13,296,B,2,2,2,827,389,782,487,688,337,6,X
14,325,A,2,1,2,527,642,787,377,722,504,8,X
15,373,B,2,2,1,688,353,554,637,613,335,7,X
16,393,A,2,2,2,786,476,680,349,561,617,6,X
17,421,B,2,2,2,771,285,758,490,685,345,8,X
18,462,A,2,2,1,510,525,716,289,713,540,5,X
19,480,B,2,1,2,529,381,594,545,733,287,6,X
20,514,A,2,2,2,419,621,543,377,581,499,8,X
21,557,B,1,1,1,419,621,466,611,581,336,3,X
22,602,A,2,2,1,471,545,514,288,664,571,5,X
23,616,B,2,1,2,524,351,686,552,508,309,6,X
24,640,A,2,2,1,800,614,551,349,513,538,9,A
