ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,38,B,2,1,2,525,337,649,498,585,307,1,X
2,64,A,2,2,2,398,562,573,336,645,507,8,X
3,92,B,1,2,1,491,311,531,549,580,313,5,X
4,105,A,2,2,2,450,440,559,310,486,573,6,X
5,133,B,2,1,2,683,291,499,472,586,299,9,X
6,153,A,2,1,1,547,426,601,303,641,493,7,X
7,184,B,2,1,2,582,387,611,456,650,312,6,X
8,211,A,2,2,2,848,585,612,372,595,445,8,X
9,256,B,2,2,1,748,279,763,610,656,315,3,X
10,290,A,1,2,1,878,526,722,279,688,537,5,A
