ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,43,B,2,2,2,771,355,623,573,726,382,2,X
2,108,A,2,2,1,505,570,762,364,711,579,5,X
3,122,B,2,1,2,726,359,688,587,722,385,8,X
4,161,A,1,2,1,829,620,668,368,692,571,3,X
5,194,B,2,2,1,839,391,820,623,633,381,5,X
6,209,A,2,1,2,817,490,639,394,880,613,6,X
7,240,B,2,2,2,788,360,796,515,696,416,8,X
8,278,A,1,2,1,472,625,730,367,726,555,3,X
9,312,B,1,2,1,456,438,566,618,673,373,7,X
10,336,A,2,2,2,580,464,488,421,525,625,8,B
