ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,34,A,2,1,2,675,444,633,329,726,510,1,X
2,57,B,2,1,2,799,351,703,459,644,321,6,X
3,81,A,2,1,2,722,422,741,345,693,490,6,X
4,105,B,2,2,2,640,380,702,435,691,346,6,X
5,128,A,2,1,2,500,589,661,356,661,446,8,X
6,166,B,2,1,1,779,328,545,608,602,324,7,X
7,190,A,2,1,2,798,446,734,322,639,552,6,X
8,218,B,2,2,2,549,294,754,472,659,308,8,X
9,241,A,2,2,1,401,575,639,288,671,522,3,X
10,273,B,2,1,1,505,316,449,589,581,297,4,X
11,287,A,2,2,1,648,456,544,316,514,533,6,X
12,311,B,2,1,2,794,376,679,476,601,320,6,X
13,336,A,2,1,2,785,412,740,372,693,486,6,X
14,361,B,2,2,2,743,257,787,438,684,346,8,A
