ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,50,B,2,1,2,666,455,632,562,709,413,1,X
2,71,A,2,2,2,766,523,691,450,641,569,6,X
3,94,B,2,2,2,503,379,739,550,650,439,8,X
4,128,A,2,2,1,493,571,527,379,637,571,4,X
5,139,B,2,1,2,584,409,638,573,524,380,4,X
6,157,A,2,2,1,611,575,606,416,629,576,4,X
7,167,B,2,1,2,736,442,659,595,606,418,6,X
8,190,A,2,1,2,510,665,702,431,664,593,8,X
9,221,B,1,2,1,524,379,592,638,586,416,3,X
10,257,A,2,2,1,467,631,527,384,625,615,3,X
11,283,B,1,2,1,470,408,550,620,569,395,5,X
12,295,A,2,2,2,445,514,557,421,530,626,6,X
13,319,B,2,1,2,499,397,467,527,525,416,9,X
14,341,A,2,2,1,460,627,545,427,503,550,3,X
15,383,B,1,2,1,651,405,489,633,545,404,5,X
16,394,A,2,1,2,713,404,544,406,507,634,6,B
