ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,20,A,2,2,2,790,647,612,443,717,627,2,X
2,83,B,2,2,1,807,386,749,655,635,415,3,X
3,114,A,2,2,1,815,538,722,397,725,607,7,X
4,145,B,2,2,2,798,386,777,549,712,410,8,X
5,193,A,1,2,1,527,629,765,385,707,584,3,X
6,223,B,2,2,1,483,378,592,621,685,405,3,X
7,265,A,2,2,1,453,550,496,373,607,601,7,X
8,291,B,2,1,2,791,483,475,560,553,394,6,X
9,324,A,2,1,2,795,505,738,475,606,578,6,X
10,345,B,2,2,2,488,387,787,515,756,476,8,X
11,391,A,2,2,1,829,633,516,387,660,565,3,X
12,428,B,2,2,1,776,368,766,638,647,410,3,A
