ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,9,B,2,1,2,596,375,656,520,569,340,1,X
2,31,A,2,2,2,667,463,586,374,664,521,6,X
3,50,B,2,2,2,535,302,665,508,597,355,8,X
4,84,A,2,2,1,447,571,578,308,655,549,5,X
5,96,B,2,1,2,463,365,661,575,520,294,4,X
6,124,A,2,2,1,814,589,477,365,609,589,9,X
7,139,B,2,2,2,778,335,665,598,480,378,4,X
8,164,A,2,1,2,800,479,704,349,778,604,6,X
9,191,B,2,2,2,805,400,748,495,649,344,6,X
10,216,A,2,1,2,814,443,745,376,714,513,6,X
11,243,B,2,2,2,771,294,778,464,692,367,8,X
12,288,A,1,2,1,768,527,708,304,721,544,5,X
13,300,B,2,2,2,564,367,752,565,702,307,6,X
14,327,A,2,2,2,686,467,603,355,640,558,6,X
15,349,B,2,2,2,498,295,642,506,614,350,9,X
16,386,A,2,2,1,491,476,536,301,633,540,7,X
17,413,B,2,1,2,741,299,503,525,576,318,8,X
18,449,A,1,2,1,782,536,652,308,672,567,5,X
19,466,B,2,2,2,614,353,740,578,692,318,6,X
20,493,A,2,2,2,653,473,642,352,657,549,6,X
21,517,B,2,1,2,797,298,710,501,641,357,9,X
22,557,A,2,1,2,381,503,744,299,715,517,7,B
