ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,30,A,2,1,2,759,459,630,344,744,543,1,X
2,54,B,2,2,2,761,302,708,475,628,340,8,X
3,83,A,1,2,1,590,509,687,306,715,512,5,X
4,97,B,2,1,2,520,367,722,533,700,303,6,X
5,126,A,2,2,2,825,587,560,360,610,520,9,X
6,163,B,2,2,2,489,313,738,630,640,337,4,X
7,197,A,2,2,2,467,522,540,314,648,541,8,X
8,223,B,1,2,1,512,319,525,523,565,315,5,X
9,236,A,2,2,2,715,442,563,315,520,545,6,X
10,266,B,2,2,2,750,292,677,467,603,328,8,X
11,295,A,1,2,1,528,565,670,307,685,506,3,X
12,333,B,2,2,1,521,357,567,568,615,318,7,X
13,360,A,2,2,2,542,438,559,325,525,568,6,X
14,391,B,2,1,2,825,284,592,440,526,341,8,A
