ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,47,A,2,1,2,711,530,629,436,715,602,1,X
2,70,B,2,2,2,795,466,665,552,622,428,6,X
3,96,A,2,1,2,499,664,731,452,682,575,8,X
4,132,B,1,2,1,498,420,584,643,598,421,5,X
5,146,A,2,2,2,472,549,567,419,546,650,6,X
6,174,B,2,1,2,453,483,524,565,582,428,6,X
7,204,A,2,2,2,413,666,491,454,589,582,8,X
8,240,B,2,1,1,807,460,454,655,560,419,7,X
9,268,A,2,1,2,796,518,746,452,619,606,6,X
10,294,B,2,2,1,669,439,766,543,707,445,9,B
