ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,34,B,2,2,2,734,354,625,570,721,390,2,X
2,99,A,2,2,1,883,535,739,349,690,578,7,X
3,122,B,2,2,2,852,442,851,559,681,373,6,X
4,145,A,2,1,2,527,640,799,425,774,575,8,X
5,182,B,2,2,1,464,354,645,623,614,394,3,X
6,225,A,2,2,1,403,616,488,354,636,587,3,X
7,253,B,2,2,1,518,353,511,607,562,368,3,X
8,303,A,2,2,1,443,527,530,352,615,581,7,X
9,324,B,2,1,2,472,463,471,542,589,364,6,X
10,356,A,2,2,2,449,656,488,441,545,555,8,X
11,402,B,2,2,1,787,357,515,651,579,402,3,X
12,447,A,2,2,1,829,552,743,359,651,594,7,X
13,467,B,2,2,2,582,457,796,568,741,359,6,X
14,496,A,2,2,2,851,659,588,430,648,569,8,X
15,539,B,2,2,1,809,423,821,667,638,398,7,X
16,562,A,2,1,2,867,499,743,414,757,623,6,X
17,593,B,2,2,2,787,366,811,517,693,407,8,X
18,628,A,1,2,1,888,655,741,381,733,559,3,X
19,668,B,2,2,1,796,363,851,661,658,386,3,X
20,702,A,2,2,1,904,582,755,372,744,599,5,X
21,719,B,2,2,2,821,398,802,577,756,365,8,X
22,738,A,1,2,1,557,571,779,389,790,582,5,X
23,753,B,2,1,2,581,413,776,584,776,404,6,X
24,771,A,2,2,1,743,570,657,401,584,567,5,X
25,782,B,2,2,2,654,398,686,576,566,406,8,X
26,803,A,2,2,1,738,552,651,405,689,582,5,X
27,817,B,2,2,2,742,361,733,566,619,399,8,X
28,853,A,2,1,1,729,546,708,364,713,573,7,X
29,880,B,2,2,2,451,442,689,554,632,393,6,X
30,911,A,2,2,2,418,638,493,426,668,572,8,X
31,951,B,2,1,1,768,359,464,638,572,409,3,X
32,993,A,2,1,1,542,509,722,361,662,581,7,X
33,1015,B,2,1,2,837,453,579,538,648,375,6,X
34,1043,A,2,1,2,517,640,775,426,657,557,8,X
35,1083,B,2,2,1,503,393,561,633,616,393,5,X
36,1096,A,2,2,2,844,514,562,391,546,640,6,X
37,1132,B,2,2,2,790,364,782,540,625,387,8,X
38,1163,A,2,2,1,845,571,772,367,724,554,5,X
39,1177,B,2,2,2,584,421,756,581,764,366,6,X
40,1205,A,2,2,2,898,653,646,420,775,592,8,X
41,1245,B,2,2,2,493,392,819,657,660,397,4,X
42,1269,A,2,2,1,463,471,586,397,762,636,6,B
