ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,13,B,2,2,2,612,378,663,567,576,389,2,X
2,80,A,2,2,1,471,615,624,374,647,589,3,X
3,109,B,1,2,1,486,418,553,615,605,406,5,X
4,127,A,2,2,2,810,534,521,419,534,628,6,X
5,153,B,2,2,2,510,389,756,553,631,414,8,X
6,185,A,2,2,1,453,580,552,392,643,583,4,X
7,199,B,2,1,1,455,389,547,592,571,403,8,X
8,234,A,2,2,1,435,589,490,388,576,599,4,X
9,253,B,2,1,2,502,455,518,597,519,405,6,X
10,283,A,2,2,2,478,501,534,451,553,591,6,X
11,312,B,2,1,2,761,388,502,507,547,451,8,X
12,361,A,2,1,1,757,624,725,391,644,584,3,X
13,396,B,2,2,1,541,406,750,627,648,410,3,X
14,417,A,2,2,1,815,534,572,407,742,654,6,A
