ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,5,A,2,1,2,688,525,617,436,742,596,1,X
2,25,B,2,1,2,521,402,729,555,618,437,8,X
3,63,A,2,2,1,616,574,564,409,649,582,5,X
4,76,B,2,1,2,709,441,656,589,551,403,6,X
5,98,A,2,1,2,516,530,675,434,680,585,6,X
6,124,B,2,1,2,720,460,532,559,655,429,6,X
7,148,A,2,1,2,633,515,667,456,629,571,6,X
8,172,B,2,1,2,730,394,666,539,645,454,8,X
9,208,A,1,2,1,621,559,688,401,688,564,5,X
10,220,B,2,1,2,699,449,710,600,691,402,6,X
11,250,A,2,1,2,427,605,668,448,669,583,9,X
12,280,B,1,2,1,447,400,551,604,589,434,5,A
