ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,10,B,2,1,2,586,308,652,481,563,294,1,X
2,37,A,2,1,2,689,402,600,307,620,484,6,X
3,63,B,2,1,2,529,252,644,419,632,310,9,X
4,96,A,1,2,1,736,536,609,269,574,509,3,X
5,130,B,1,2,1,753,282,651,537,643,274,5,X
6,145,A,2,2,2,732,398,700,281,676,559,6,X
7,172,B,2,1,2,695,355,693,429,694,281,6,X
8,196,A,2,2,2,748,566,673,334,675,428,8,X
9,258,B,1,2,1,535,319,760,601,659,298,7,X
10,288,A,2,1,2,492,392,557,310,633,533,6,X
11,314,B,2,2,2,756,242,514,430,585,316,8,X
12,361,A,2,2,1,742,517,729,253,634,486,3,X
13,389,B,1,2,1,526,273,713,518,689,267,5,B
