ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,24,B,2,2,2,778,354,621,568,711,383,2,X
2,84,A,2,2,1,461,559,767,354,710,585,5,X
3,102,B,2,1,2,500,445,552,571,731,370,6,X
4,132,A,2,2,2,811,648,532,428,553,556,8,X
5,175,B,2,2,1,781,370,759,647,630,403,3,X
6,201,A,1,2,1,816,640,703,384,744,626,3,X
7,242,B,2,2,1,517,400,826,642,641,396,5,X
8,257,A,2,2,2,448,509,617,393,752,623,6,X
9,289,B,2,1,2,463,376,489,530,572,405,8,X
10,319,A,2,2,1,450,511,519,376,573,560,7,X
11,350,B,2,1,2,736,463,472,530,580,392,6,X
12,379,A,2,1,2,838,642,692,450,643,536,8,X
13,412,B,2,2,1,825,369,740,646,673,434,3,X
14,444,A,1,2,1,804,638,734,382,693,614,3,X
15,481,B,2,2,1,557,485,814,642,698,380,5,A
