ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,15,B,2,1,2,747,357,627,505,728,330,1,X
2,33,A,2,1,2,530,607,697,369,665,517,8,X
3,66,B,1,1,1,524,355,535,625,604,342,4,X
4,85,A,2,2,2,471,466,566,363,548,575,6,X
5,111,B,2,1,2,485,288,518,485,586,347,8,X
6,154,A,2,2,1,800,528,513,289,623,540,5,X
7,172,B,2,2,2,798,382,675,547,461,289,6,X
8,205,A,2,1,2,489,452,759,367,774,534,6,X
9,239,B,2,1,2,730,287,519,476,644,348,8,X
10,273,A,1,2,1,913,579,658,307,652,524,5,B
