ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,42,A,2,1,2,721,469,616,352,731,557,1,X
2,62,B,2,2,2,619,374,693,496,619,366,6,X
3,86,A,2,2,2,821,599,616,372,657,512,9,X
4,117,B,2,2,1,498,377,756,617,621,338,7,X
5,143,A,2,2,2,490,437,511,372,685,589,6,X
6,170,B,2,1,2,469,394,501,473,559,365,6,X
7,196,A,2,2,2,452,600,488,393,559,490,8,X
8,239,B,1,2,1,772,317,487,608,573,336,5,X
9,259,A,2,1,2,790,457,627,324,487,617,6,X
10,287,B,2,2,2,480,382,746,494,703,339,6,X
11,316,A,2,2,2,449,604,513,372,638,517,8,X
12,348,B,1,2,1,503,323,477,601,566,345,5,X
13,362,A,2,2,2,715,483,543,329,474,611,6,X
14,392,B,2,2,1,733,298,709,525,575,311,9,X
15,405,A,2,1,2,580,511,578,313,703,529,8,X
16,427,B,1,2,1,477,309,677,526,598,327,5,B
