ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,10,A,2,1,2,834,437,631,379,731,484,1,X
2,39,B,2,2,2,745,357,767,450,656,376,8,X
3,81,A,2,2,1,458,436,719,363,712,484,7,X
4,107,B,2,1,2,503,398,485,464,664,367,6,X
5,137,A,2,1,2,447,423,538,392,544,461,6,X
6,164,B,2,1,2,731,355,477,438,550,387,8,X
7,216,A,2,2,1,798,438,691,359,636,495,7,X
8,240,B,2,2,2,754,355,760,459,669,363,9,X
9,274,A,2,2,1,377,518,724,359,716,493,3,X
10,306,B,1,2,1,600,359,560,508,665,375,3,X
11,347,A,1,2,1,387,488,596,359,613,516,5,X
12,367,B,2,1,2,538,389,593,501,593,368,6,X
13,391,A,2,1,2,920,576,554,391,526,495,9,X
14,426,B,2,2,2,797,391,811,582,641,380,7,X
15,449,A,2,2,2,811,398,742,391,762,540,6,B
