ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,43,A,2,1,2,483,444,651,373,557,489,1,X
2,65,B,2,1,2,722,358,536,451,641,373,9,X
3,92,A,1,2,1,867,475,678,366,641,471,5,X
4,109,B,2,2,2,755,376,733,481,687,363,6,X
5,138,A,2,1,2,891,562,726,378,722,487,9,X
6,172,B,2,2,2,752,386,788,561,643,366,7,X
7,201,A,2,1,2,999,565,723,381,683,479,8,X
8,243,B,2,2,1,733,356,937,563,643,372,3,X
9,275,A,1,2,1,901,607,704,364,723,490,3,X
10,319,B,2,2,1,514,385,839,606,642,371,7,X
11,346,A,2,2,2,318,571,539,386,648,522,8,X
12,383,B,1,2,1,770,373,397,566,588,376,5,B
