ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,47,B,2,1,2,685,349,627,501,701,310,1,X
2,71,A,2,1,2,645,413,653,343,634,521,6,X
3,94,B,2,2,2,512,269,608,432,633,334,8,X
4,138,A,2,2,1,452,583,555,266,615,505,3,X
5,172,B,1,2,1,502,315,517,565,600,293,5,X
6,192,A,2,2,2,471,420,536,312,522,582,6,X
7,223,B,2,1,2,461,384,478,442,569,319,6,X
8,249,A,2,2,2,451,408,490,371,556,472,6,X
9,275,B,2,1,2,618,285,501,425,545,351,8,X
10,330,A,2,2,1,802,597,609,285,607,502,5,A
