ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,33,A,2,1,2,791,442,635,332,723,521,1,X
2,57,B,2,2,2,508,276,724,455,653,322,8,X
3,93,A,2,2,1,465,439,526,273,631,493,7,X
4,121,B,2,1,2,486,379,533,462,576,299,6,X
5,145,A,2,2,2,463,412,507,355,562,480,6,X
6,167,B,2,1,2,690,273,498,430,557,345,8,X
7,215,A,2,2,1,816,486,677,271,654,511,7,X
8,235,B,2,2,2,600,355,767,512,661,274,6,X
9,262,A,2,2,2,646,431,626,332,678,494,6,X
10,286,B,2,1,2,748,387,683,450,644,328,6,X
11,310,A,2,1,2,788,615,708,365,681,453,8,X
12,378,B,2,2,1,740,356,755,628,610,306,7,X
13,401,A,2,1,2,797,422,704,334,717,552,6,X
14,427,B,2,2,2,823,383,754,447,685,328,6,X
15,456,A,2,1,2,919,619,770,367,730,446,8,X
16,509,B,2,2,1,562,292,849,613,669,310,3,X
17,537,A,2,2,1,781,504,600,295,705,556,5,X
18,552,B,2,2,2,724,300,690,534,510,296,4,X
19,574,A,2,1,1,808,600,645,302,772,502,8,X
20,607,B,2,2,1,750,346,729,619,660,306,7,X
21,630,A,2,1,2,793,417,711,326,690,576,6,X
22,659,B,2,2,2,830,386,761,439,687,333,6,X
23,685,A,2,1,2,392,598,769,358,720,457,8,X
24,730,B,1,2,1,829,323,500,582,620,317,5,A
