ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,38,A,2,1,2,787,438,628,374,780,492,1,X
2,64,B,2,2,2,545,359,742,443,638,373,8,X
3,93,A,2,2,1,262,565,568,359,638,469,3,X
4,126,B,1,2,1,560,356,401,534,617,369,3,X
5,167,A,2,2,1,347,567,577,355,567,505,3,X
6,202,B,2,2,1,516,359,446,550,591,371,3,X
7,247,A,2,2,1,799,439,535,358,557,500,7,X
8,272,B,2,2,2,746,355,771,448,577,358,8,X
9,302,A,2,1,1,836,427,721,358,739,459,7,X
10,332,B,2,2,2,725,354,796,437,668,368,8,X
11,363,A,2,2,1,423,467,682,358,746,466,7,X
12,383,B,2,1,2,402,399,624,471,685,355,6,A
