ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,27,A,2,1,2,584,437,650,326,555,513,1,X
2,51,B,2,2,2,554,386,572,459,649,324,6,X
3,76,A,2,2,2,849,593,569,364,605,464,8,X
4,122,B,2,2,1,787,310,796,607,631,316,5,X
5,135,A,2,1,2,770,438,622,312,840,637,6,X
6,163,B,2,2,2,805,377,719,460,699,312,6,X
7,190,A,2,1,2,857,615,756,352,712,482,8,X
8,228,B,2,2,1,760,346,797,627,662,316,7,X
9,248,A,2,1,2,593,450,709,331,739,587,6,X
10,275,B,2,1,2,747,384,652,469,647,314,6,X
11,298,A,2,1,2,786,415,725,358,662,473,6,X
12,322,B,2,2,2,579,281,763,421,701,355,8,X
13,390,A,2,2,1,485,456,586,268,665,520,7,X
14,412,B,2,1,2,530,380,531,473,611,290,6,X
15,441,A,2,2,2,441,587,544,353,575,480,8,X
16,477,B,1,2,1,495,319,523,578,587,318,5,X
17,500,A,2,2,2,673,435,543,318,518,587,6,X
18,526,B,2,2,2,481,276,645,470,594,314,8,X
19,563,A,2,2,1,437,554,520,277,635,508,3,X
20,585,B,1,2,1,513,346,541,535,558,289,7,X
21,608,A,2,2,2,642,413,550,332,538,543,6,X
22,636,B,2,2,2,634,391,622,440,600,329,6,X
23,662,A,2,1,2,685,614,610,365,624,460,8,X
24,716,B,2,2,1,746,278,658,621,622,314,3,X
25,751,A,1,2,1,840,480,701,281,699,526,7,X
26,774,B,2,2,2,808,348,766,505,713,277,6,X
27,806,A,2,1,2,905,600,764,346,697,494,8,X
28,845,B,2,2,1,779,347,841,605,678,315,7,X
29,873,A,2,1,2,860,587,740,339,726,528,8,X
30,906,B,2,2,1,523,286,800,602,681,318,3,X
31,939,A,2,2,1,431,558,555,280,679,542,3,X
32,963,B,1,2,1,788,330,543,549,576,286,7,X
33,990,A,2,1,2,861,570,743,325,556,550,8,X
34,1021,B,2,2,2,540,358,791,574,682,313,7,X
35,1051,A,2,2,2,464,583,564,347,666,519,8,X
36,1087,B,1,2,1,505,280,520,586,600,318,3,X
37,1128,A,2,2,1,830,473,515,273,651,534,5,A
