ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,6,B,2,1,2,584,378,648,520,562,333,1,X
2,28,A,2,2,2,806,447,594,367,650,514,6,X
3,53,B,2,2,2,491,302,754,470,663,348,8,X
4,95,A,2,2,1,461,532,527,299,632,534,4,X
5,113,B,2,1,1,480,376,612,544,554,313,6,X
6,140,A,2,2,2,456,548,520,369,599,523,8,X
7,162,B,1,2,1,514,348,617,538,558,351,4,X
8,179,A,2,2,1,465,461,554,342,604,558,6,X
9,203,B,2,1,2,610,388,491,489,582,341,6,X
10,228,A,2,1,1,819,645,569,388,577,519,9,A
