ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,17,A,2,1,2,752,515,623,409,747,573,1,X
2,39,B,2,2,2,510,354,706,533,622,406,8,X
3,83,A,2,2,1,446,635,507,353,622,571,3,X
4,118,B,2,2,1,460,357,496,623,587,385,3,X
5,154,A,2,2,1,429,579,483,358,576,599,5,X
6,170,B,2,1,2,791,429,621,581,433,355,6,X
7,200,A,2,1,2,913,648,726,416,634,577,8,X
8,232,B,2,2,1,823,437,822,648,679,408,7,X
9,255,A,2,1,2,492,614,773,421,742,617,8,X
10,288,B,2,2,1,521,353,576,613,641,408,3,X
11,334,A,2,2,1,862,538,531,346,618,586,7,X
12,358,B,2,2,2,786,409,820,547,611,371,8,X
13,383,A,2,2,1,593,615,729,418,790,562,5,A
