ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,10,B,2,2,2,574,384,664,565,575,390,2,X
2,71,A,2,2,1,472,575,579,376,637,589,5,X
3,89,B,2,1,2,604,461,636,595,576,397,6,X
4,113,A,2,2,2,646,508,634,448,613,583,6,X
5,141,B,2,1,2,537,387,658,526,634,445,8,X
6,174,A,2,2,1,442,572,571,388,625,577,4,X
7,191,B,2,1,1,488,462,550,585,588,402,6,X
8,217,A,2,2,2,730,508,508,449,561,574,6,X
9,243,B,2,2,2,583,401,669,524,603,435,8,X
10,265,A,2,2,1,790,528,597,410,650,545,7,X
11,291,B,2,2,2,777,391,766,544,633,410,8,X
12,322,A,1,2,1,750,545,703,393,714,578,7,X
13,346,B,2,2,2,479,440,724,564,678,401,6,X
14,372,A,2,2,2,837,684,533,440,651,568,8,B
