ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,48,B,2,2,2,574,353,674,570,532,385,2,X
2,115,A,2,2,1,439,626,571,345,664,580,3,X
3,146,B,1,2,1,452,454,547,610,579,383,7,X
4,176,A,2,2,2,490,496,483,445,530,608,6,X
5,206,B,2,1,2,691,350,505,523,571,418,8,X
6,270,A,2,2,1,870,643,686,355,702,574,3,X
7,303,B,2,2,1,824,449,791,647,652,394,7,X
8,332,A,2,1,2,448,626,760,427,721,589,9,X
9,369,B,1,2,1,790,354,571,630,609,399,3,X
10,406,A,1,2,1,435,622,719,362,645,598,3,X
11,448,B,2,2,1,482,393,518,615,611,380,5,X
12,461,A,2,2,2,583,531,537,388,486,611,6,X
13,487,B,2,1,1,540,404,620,546,559,391,9,X
14,500,A,2,2,2,524,611,593,399,629,546,8,X
15,533,B,2,2,1,837,360,552,613,563,386,5,B
