ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,17,A,2,1,2,625,481,647,349,520,548,1,X
2,38,B,2,2,2,629,370,574,490,610,337,6,X
3,64,A,2,2,2,661,453,642,358,651,516,6,X
4,89,B,2,2,2,536,293,625,497,649,363,8,X
5,131,A,2,2,1,506,595,548,296,652,532,3,X
6,166,B,1,2,1,484,329,524,592,600,337,5,X
7,182,A,2,2,2,460,461,524,336,534,616,6,X
8,211,B,2,1,2,495,291,472,493,587,337,9,X
9,244,A,2,2,2,476,437,521,303,573,529,7,X
10,276,B,2,1,2,476,398,468,467,570,357,6,X
11,304,A,2,2,2,563,625,502,395,559,501,8,X
12,361,B,1,2,1,551,339,574,642,595,342,5,X
13,378,A,2,2,2,660,482,573,341,629,618,6,X
14,396,B,2,2,2,518,354,645,522,600,323,6,X
15,423,A,2,2,2,463,461,560,359,640,547,6,X
16,451,B,2,1,2,500,294,510,490,587,346,8,X
17,492,A,2,2,1,887,477,513,299,625,537,7,B
