ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,10,A,2,1,2,480,608,652,353,569,545,2,X
2,44,B,2,2,1,763,353,543,595,597,331,7,X
3,65,A,2,1,2,824,486,738,341,595,573,6,X
4,98,B,2,2,2,799,397,784,503,688,336,6,X
5,125,A,2,1,2,506,608,758,373,718,498,8,X
6,170,B,2,1,1,591,299,525,626,616,335,3,X
7,213,A,2,2,1,467,635,575,292,638,555,3,X
8,260,B,1,2,1,499,287,545,622,612,327,3,X
9,303,A,2,2,1,783,498,505,293,589,551,7,X
10,329,B,2,2,2,763,394,751,512,601,318,6,X
11,354,A,2,1,2,468,611,739,374,714,515,8,X
12,397,B,2,1,1,588,311,504,620,618,337,3,X
13,445,A,2,2,1,768,540,567,305,712,562,5,X
14,458,B,2,2,2,788,392,734,554,611,318,6,X
15,492,A,2,1,2,421,621,730,378,721,528,8,X
16,537,B,2,1,1,538,304,478,612,618,338,3,X
17,584,A,2,2,1,448,541,538,304,663,549,5,X
18,599,B,2,1,2,733,392,501,549,529,317,6,X
19,632,A,2,1,2,465,635,699,377,621,545,8,X
20,673,B,1,2,1,519,332,579,628,614,338,5,X
21,690,A,2,2,2,811,479,572,331,568,609,6,X
22,723,B,2,2,2,805,407,780,496,646,335,6,X
23,755,A,2,1,2,480,584,757,386,741,496,8,X
24,823,B,2,1,1,600,324,540,610,605,332,3,X
25,876,A,2,2,1,794,532,594,321,674,559,5,A
