ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,21,A,2,1,2,491,627,651,352,565,541,2,X
2,53,B,1,2,1,746,285,565,581,594,334,3,X
3,106,A,2,2,1,437,530,714,284,669,555,7,X
4,127,B,2,1,2,509,380,654,539,682,300,6,X
5,152,A,2,2,1,773,472,544,374,521,514,6,X
6,178,B,2,2,2,765,298,768,496,618,362,8,X
7,214,A,1,2,1,703,564,690,308,716,549,5,X
8,226,B,2,1,2,765,384,758,573,706,301,6,X
9,248,A,2,1,1,485,451,734,368,740,582,6,X
10,275,B,2,1,2,726,286,526,470,672,339,8,X
11,330,A,2,2,1,838,524,725,284,631,527,5,X
12,351,B,2,2,2,789,391,784,539,690,299,6,X
13,380,A,2,1,2,540,613,765,366,693,517,8,X
14,414,B,1,2,1,565,328,624,609,634,328,5,X
15,430,A,2,2,2,799,490,590,325,593,590,6,X
16,457,B,2,2,2,808,386,768,504,657,332,6,X
17,486,A,2,1,2,855,671,762,374,705,521,8,B
