ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,0,B,2,1,2,735,368,617,481,724,316,1,X
2,29,A,2,2,2,619,555,721,357,678,494,8,X
3,68,B,2,2,1,732,304,610,558,610,315,5,X
4,79,A,2,1,2,794,472,589,298,651,579,6,X
5,102,B,2,2,2,801,380,756,496,671,307,6,X
6,125,A,2,1,2,898,569,789,365,708,495,8,X
7,153,B,2,2,1,545,359,839,574,690,326,7,X
8,180,A,2,2,2,658,448,553,348,719,539,6,X
9,199,B,2,2,2,611,380,612,458,584,347,6,X
10,219,A,2,2,2,868,596,602,364,647,465,8,X
11,258,B,2,2,1,760,313,805,610,626,323,4,X
12,271,A,2,1,2,745,471,626,325,775,588,6,X
13,290,B,2,2,2,667,388,706,493,676,332,6,X
14,308,A,2,2,2,749,427,645,378,685,479,6,X
15,321,B,2,2,2,581,385,707,457,665,373,6,X
16,342,A,2,2,2,462,576,628,371,684,448,8,X
17,376,B,2,2,1,510,315,617,561,604,318,5,X
18,394,A,2,2,2,795,473,543,311,559,584,6,X
19,420,B,2,2,2,753,387,757,477,620,315,6,X
20,447,A,2,1,2,816,425,747,370,698,484,6,X
21,470,B,2,2,2,511,286,780,442,723,358,8,X
22,518,A,2,2,1,797,493,529,284,665,533,7,X
23,538,B,2,2,2,730,382,688,553,518,291,6,X
24,567,A,2,1,2,499,445,695,360,760,512,6,X
25,592,B,2,1,2,670,275,521,458,632,343,8,X
26,634,A,2,2,1,545,528,642,285,685,516,5,X
27,645,B,2,1,2,407,421,708,537,616,283,6,A
