ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,26,A,2,1,2,506,443,653,325,559,516,1,X
2,47,B,2,1,2,801,362,545,453,649,323,6,X
3,73,A,2,1,2,775,410,750,356,647,475,6,X
4,101,B,2,2,2,760,276,751,425,687,346,8,X
5,158,A,2,2,1,861,471,732,271,723,486,7,X
6,176,B,2,2,2,527,367,795,486,730,285,6,X
7,207,A,2,2,2,392,555,557,351,639,464,8,X
8,241,B,2,1,1,735,295,452,577,576,321,3,X
9,268,A,2,2,1,628,532,681,304,669,553,5,X
10,279,B,2,1,2,514,309,704,560,716,305,4,X
11,309,A,2,2,2,385,582,560,320,630,519,3,X
12,350,B,2,2,1,847,308,394,571,542,300,5,A
