ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
1,48,A,2,1,2,676,519,617,374,737,489,2,X
2,81,B,1,2,1,565,359,762,505,649,375,3,X
3,124,A,1,2,1,876,477,574,363,631,513,5,X
4,144,B,2,2,2,724,368,788,504,577,363,4,X
5,165,A,2,2,1,827,423,676,371,766,498,6,X
6,195,B,2,2,2,717,359,806,438,711,374,8,X
7,234,A,2,2,1,492,451,693,359,727,472,7,X
8,253,B,2,1,2,691,358,536,487,700,362,8,X
9,293,A,2,2,1,998,573,655,361,672,492,3,X
10,334,B,2,2,1,441,394,975,594,653,373,7,A
